ts;event_id;aattacks;ablocked_shots;acorners;adangerous_attacks;adangerous_free_kicks;afouls;afree_kicks;agoal;agoal_kicks;aoffsides;apenalties;ared_cards;ashots_off_target;ashots_off_woodwork;ashots_on_target;asubstitutions;athrow_ins;atotal_cards;atotal_shots;ayellow_cards;hattacks;hblocked_shots;hcorners;hdangerous_attacks;hdangerous_free_kicks;hfouls;hfree_kicks;hgoal;hgoal_kicks;hoffsides;hpenalties;hred_cards;hshots_off_target;hshots_off_woodwork;hshots_on_target;hsubstitutions;hthrow_ins;htotal_cards;htotal_shots;hyellow_cards
2021-04-08 21:00:00.000000;30366512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-04-08 21:00:00.000000;30366513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-04-08 21:00:00.000000;30412191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-04-08 21:00:00.000000;30366510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-04-08 21:00:00.000000;30366511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-04-08 21:05:04.000000;30366512;9;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
2021-04-08 21:05:04.000000;30366513;6;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0
2021-04-08 21:05:04.000000;30412191;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;0;1;0;0;1;0;0;1;0;0;0;4;0;1;0
2021-04-08 21:05:04.000000;30366510;5;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;9;0;0;10;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0
2021-04-08 21:05:04.000000;30366511;9;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0
2021-04-08 21:10:07.000000;30366512;18;0;0;4;0;0;0;0;1;0;0;0;0;0;1;0;3;0;1;0;11;0;1;6;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
2021-04-08 21:10:07.000000;30366513;8;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;24;1;2;12;0;0;0;0;0;1;0;0;0;0;2;0;5;0;2;0
2021-04-08 21:10:07.000000;30412191;10;0;0;1;0;1;4;1;1;0;0;0;0;0;1;0;0;0;1;0;10;0;0;3;0;4;1;0;0;1;0;0;1;0;0;0;5;0;1;0
2021-04-08 21:10:07.000000;30366510;6;4;0;11;0;2;0;0;1;0;0;0;0;0;4;0;4;1;4;1;11;0;1;14;1;0;2;0;1;0;0;0;0;0;0;0;3;0;0;0
2021-04-08 21:10:07.000000;30366511;12;1;1;4;0;2;2;0;0;0;0;0;0;0;1;0;3;0;1;0;19;0;0;3;0;2;2;0;1;0;0;0;0;0;0;0;4;0;0;0
