event_id;competition_id;cutoff_date;delta;event_name;favourite;guest;home
31115972;9404054;2021-12-19 15:45:00;16.26;RKC Waalwijk - PSV;AWAY;PSV;RKC Waalwijk
31115054;81;2021-12-19 17:00:00;3.46;Sampdoria - Venezia;HOME;Venezia;Sampdoria
31115057;81;2021-12-19 17:00:00;1.38;Torino - Verona;HOME;Verona;Torino
31115051;81;2021-12-19 19:45:00;1.02;Milan - Napoli;HOME;Napoli;Milan
31115030;117;2021-12-19 20:00:00;19.8;Real Madrid - Cadiz;HOME;Cadiz;Real Madrid
31127477;59;2021-12-19 16:30:00;2.21;Colonia - Stoccarda;HOME;Stoccarda;Colonia
31128241;10932509;2021-12-19 16:30:00;4.11;Tottenham - Liverpool;AWAY;Liverpool;Tottenham
31115037;117;2021-12-19 15:15:00;1.33;Athletic Bilbao - Betis Siviglia;HOME;Betis Siviglia;Athletic Bilbao
31126011;12199689;2021-12-19 15:15:00;1.74;Perugia - Ternana;HOME;Ternana;Perugia
31115027;117;2021-12-19 17:30:00;1.16;Getafe - Osasuna;HOME;Osasuna;Getafe
