id;market_id;runner_id;available;back;lay;market_name;matched;runner_name;total_available;total_matched
31130439;1.192740674;47972;1581.43;1.15;1.17;FIRST_HALF_GOALS_25;312;Under 2,5 goal;7546.10033438325;0
31130439;1.192740674;47973;111.68;6.8;7.6;FIRST_HALF_GOALS_25;119;Over 2,5 goal;7546.10033438325;0
31130439;1.192740675;30246;35.76;1.7;1.75;BOTH_TEAMS_TO_SCORE;46.8;Sì;10332.4132703512;1810.7
31130439;1.192740675;30247;17.05;2.34;2.44;BOTH_TEAMS_TO_SCORE;24.91;No;10332.4132703512;1810.7
31130439;1.192740676;48785;271;1.84;1.86;MATCH_ODDS;19.02;Porto;63210.1307186135;52716.83
31130439;1.192740676;48783;374.66;4.6;4.8;MATCH_ODDS;92.42;Benfica;63210.1307186135;52716.83
31130439;1.192740676;58805;338.46;4;4.1;MATCH_ODDS;2299.04;Pareggio;63210.1307186135;52716.83
31130439;1.192740677;5851482;95.1;3.5;3.75;FIRST_HALF_GOALS_05;67;Under 0,5 goal;4780.3588607361;281
31130439;1.192740677;5851483;701.74;1.36;1.4;FIRST_HALF_GOALS_05;237.75;Over 0,5 goal;4780.3588607361;281
31130439;1.192740678;5851482;239.51;15;19.5;OVER_UNDER_05;191.5;Under 0,5 goal;38173.1336281267;5678.13
31130439;1.192740678;5851483;11990.68;1.05;1.07;OVER_UNDER_05;662.88;Over 0,5 goal;38173.1336281267;5678.13
31130439;1.192740679;1221385;213;1.56;1.6;FIRST_HALF_GOALS_15;145;Under 1,5 goal;4048.78944519885;5
31130439;1.192740679;1221386;167.22;2.66;2.8;FIRST_HALF_GOALS_15;240.17;Over 1,5 goal;4048.78944519885;5
31130439;1.192740680;2542448;1909.35;1.02;1.04;OVER_UNDER_65;4161.83;Under 6,5 goal;16410.3078485687;883.94
31130439;1.192740680;2542449;41;29;50;OVER_UNDER_65;18;Over 6,5 goal;16410.3078485687;883.94
31130439;1.192740681;48785;116;2.44;2.56;HALF_TIME;14;Porto;3091.82357837509;20
31130439;1.192740681;48783;32;4.7;5.2;HALF_TIME;118;Benfica;3091.82357837509;20
31130439;1.192740681;58805;23;2.44;2.56;HALF_TIME;152.5;Pareggio;3091.82357837509;20
31130439;1.192740682;1485567;171.63;1.07;1.09;OVER_UNDER_55;1324.73;Under 5,5 goal;23195.1638161996;39.62
31130439;1.192740682;1485568;24;12.5;15.5;OVER_UNDER_55;12.04;Over 5,5 goal;23195.1638161996;39.62
31130439;1.192740683;1;115.5;16.5;18;CORRECT_SCORE;100;0 - 0;334790.149191109;721.24
31130439;1.192740683;4;113;19;21;CORRECT_SCORE;100;0 - 1;334790.149191109;721.24
31130439;1.192740683;9;43;34;38;CORRECT_SCORE;126;0 - 2;334790.149191109;721.24
31130439;1.192740683;16;23;80;110;CORRECT_SCORE;15;0 - 3;334790.149191109;721.24
31130439;1.192740683;2;126.5;10;11;CORRECT_SCORE;105.5;1 - 0;334790.149191109;721.24
31130439;1.192740683;3;100;8.4;9;CORRECT_SCORE;132.5;1 - 1;334790.149191109;721.24
31130439;1.192740683;8;104.5;16.5;18;CORRECT_SCORE;86;1 - 2;334790.149191109;721.24
31130439;1.192740683;15;33.5;44;50;CORRECT_SCORE;55;1 - 3;334790.149191109;721.24
31130439;1.192740683;5;124;11;12;CORRECT_SCORE;100;2 - 0;334790.149191109;721.24
31130439;1.192740683;6;85;9.2;10;CORRECT_SCORE;100;2 - 1;334790.149191109;721.24
31130439;1.192740683;7;78;15.5;17;CORRECT_SCORE;150.5;2 - 2;334790.149191109;721.24
31130439;1.192740683;14;43;46;55;CORRECT_SCORE;73.5;2 - 3;334790.149191109;721.24
31130439;1.192740683;10;98.5;18.5;21;CORRECT_SCORE;132;3 - 0;334790.149191109;721.24
31130439;1.192740683;11;100;16;17;CORRECT_SCORE;63;3 - 1;334790.149191109;721.24
31130439;1.192740683;12;109.5;26;29;CORRECT_SCORE;73.5;3 - 2;334790.149191109;721.24
31130439;1.192740683;13;41.5;65;80;CORRECT_SCORE;75;3 - 3;334790.149191109;721.24
31130439;1.192740683;9063254;52.14;9.2;9.8;CORRECT_SCORE;50;Qualsiasi altro risultato a favore della squadra in Casa;334790.149191109;721.24
31130439;1.192740683;9063255;18.5;38;44;CORRECT_SCORE;32;Qualsiasi altro risultato a favore della squadra in Trasferta;334790.149191109;721.24
31130439;1.192740683;9063256;32.27;22;630;CORRECT_SCORE;4.5;Qualsiasi altro Pareggio;334790.149191109;721.24
31130439;1.192740684;47972;255.4;2.26;2.32;OVER_UNDER_25;42.5;Under 2,5 goal;15596.9187444696;2016.45
31130439;1.192740684;47973;387.42;1.75;1.79;OVER_UNDER_25;13.73;Over 2,5 goal;15596.9187444696;2016.45
31130439;1.192740685;1222347;78.15;1.19;1.22;OVER_UNDER_45;1396.17;Under 4,5 goal;7541.7485567908;60
31130439;1.192740685;1222346;181.62;5.6;6.2;OVER_UNDER_45;15;Over 4,5 goal;7541.7485567908;60
31130439;1.192740687;1221385;46.03;4.7;5.1;OVER_UNDER_15;18;Under 1,5 goal;10808.0990916436;1146.74
31130439;1.192740687;1221386;617.52;1.24;1.27;OVER_UNDER_15;78;Over 1,5 goal;10808.0990916436;1146.74
31130439;1.192740688;1222344;1035;1.5;1.53;OVER_UNDER_35;61;Under 3,5 goal;10400.7948182091;105.96
31130439;1.192740688;1222345;119.09;2.88;3;OVER_UNDER_35;517.55;Over 3,5 goal;10400.7948182091;105.96
31139214;1.192716186;47972;3152.57;1.15;1.18;FIRST_HALF_GOALS_25;1353.4;Under 2,5 goal;10590.7432657833;40
31139214;1.192716186;47973;41;6.8;7.4;FIRST_HALF_GOALS_25;176;Over 2,5 goal;10590.7432657833;40
31139214;1.192716187;30246;231.57;2.04;2.14;BOTH_TEAMS_TO_SCORE;17.95;Sì;21743.0296041998;3956.59
31139214;1.192716187;30247;12.62;1.93;1.96;BOTH_TEAMS_TO_SCORE;124;No;21743.0296041998;3956.59
31139214;1.192716188;48351;2932.7;1.42;1.43;MATCH_ODDS;6872.48;Manchester United;117881.837764224;279279.09
31139214;1.192716188;56299;29.97;9.4;9.6;MATCH_ODDS;130.14;Burnley;117881.837764224;279279.09
31139214;1.192716188;58805;449.54;5.2;5.3;MATCH_ODDS;272.42;Pareggio;117881.837764224;279279.09
31139214;1.192716189;5851482;56;3.6;3.8;FIRST_HALF_GOALS_05;473.82;Under 0,5 goal;9170.31380524166;269.52
31139214;1.192716189;5851483;657.5;1.36;1.39;FIRST_HALF_GOALS_05;507.44;Over 0,5 goal;9170.31380524166;269.52
31139214;1.192716190;5851482;45.37;16.5;19;OVER_UNDER_05;257.8;Under 0,5 goal;89609.3760051244;2617.18
31139214;1.192716190;5851483;33747.87;1.05;1.07;OVER_UNDER_05;8979.31;Over 0,5 goal;89609.3760051244;2617.18
31139214;1.192716191;1221385;509.51;1.57;1.61;FIRST_HALF_GOALS_15;238.5;Under 1,5 goal;8124.0550732904;264
31139214;1.192716191;1221386;293.56;2.62;2.74;FIRST_HALF_GOALS_15;155;Over 1,5 goal;8124.0550732904;264
31139214;1.192716192;2542448;5227.1;1.02;1.03;OVER_UNDER_65;35;Under 6,5 goal;45799.2431818695;2366.64
31139214;1.192716192;2542449;50.06;32;48;OVER_UNDER_65;38;Over 6,5 goal;45799.2431818695;2366.64
31139214;1.192716193;48351;286.5;1.93;1.96;HALF_TIME;50;Manchester United;6560.09537643223;116
31139214;1.192716193;56299;12.38;7.8;8.8;HALF_TIME;238.5;Burnley;6560.09537643223;116
31139214;1.192716193;58805;37.12;2.64;2.74;HALF_TIME;21;Pareggio;6560.09537643223;116
31139214;1.192716194;1485567;711.74;1.07;1.09;OVER_UNDER_55;2651.69;Under 5,5 goal;48461.8216948714;1145.02
31139214;1.192716194;1485568;114.51;12.5;15.5;OVER_UNDER_55;331.2;Over 5,5 goal;48461.8216948714;1145.02
31139214;1.192716195;1;116.5;17.5;19;CORRECT_SCORE;89;0 - 0;425982.742982373;2031.12001342057
31139214;1.192716195;4;87;28;30;CORRECT_SCORE;23.5;0 - 1;425982.742982373;2031.12001342057
31139214;1.192716195;9;32.5;70;85;CORRECT_SCORE;88;0 - 2;425982.742982373;2031.12001342057
